2023-07-04 12:00:00	0
2023-07-04 17:28:01	0
2023-07-04 18:42:49	1
2023-07-04 19:30:12	1
2023-07-05 10:37:42	1
2023-07-05 11:27:29	2
2023-07-05 12:37:58	2
2023-07-05 17:29:21	2
2023-07-05 18:44:54	3
2023-07-05 19:28:21	4
2023-07-05 20:35:57	4
2023-07-06 09:25:07	4
2023-07-06 10:37:28	5
2023-07-06 11:27:13	5
2023-07-06 13:22:27	5
2023-07-06 15:17:06	6
2023-07-06 16:32:15	6
2023-07-06 17:30:09	6
2023-07-06 18:43:35	7
2023-07-06 19:30:24	8
2023-07-06 20:30:34	8
2023-07-06 21:18:15	9
2023-07-06 22:26:57	9
2023-07-07 10:33:21	9
2023-07-07 11:25:21	10
2023-07-07 12:34:17	11
2023-07-07 13:20:23	11
2023-07-07 23:21:06	11
2023-07-08 00:30:23	12
2023-07-08 01:24:21	12
2023-07-08 09:20:50	12
2023-07-08 10:30:31	13
2023-07-08 11:22:07	13
2023-07-08 15:28:39	13
2023-07-08 16:26:50	14
2023-07-08 17:24:35	14
2023-07-12 12:34:35	14
2023-07-12 13:20:16	15
2023-07-12 15:12:51	15
2023-07-12 21:17:59	15
2023-07-12 22:26:14	16
2023-07-12 23:21:20	16
2023-07-15 22:24:33	16
2023-07-15 23:19:32	17
2023-07-16 00:28:54	17
2023-07-17 12:36:03	17
2023-07-17 13:20:22	18
2023-07-17 15:14:31	18
2023-07-24 19:09:25	18
2023-07-24 20:14:23	19
2023-07-24 21:08:12	19
2023-07-26 18:12:38	19
2023-07-26 19:09:02	20
2023-07-26 20:12:10	20
2023-07-30 21:07:37	20
2023-07-30 22:09:40	21
2023-07-30 23:07:45	21
2023-07-31 02:55:57	21
2023-07-31 04:01:49	22
2023-07-31 04:32:47	22
2023-08-25 13:08:13	22
2023-08-25 14:18:21	23
2023-08-25 15:12:15	23
2023-08-28 13:08:26	23
2023-08-28 14:19:45	24
2023-08-28 15:12:55	24
2023-08-29 15:13:12	24
2023-08-29 16:09:15	25
2023-08-29 17:10:30	25
2023-09-01 22:10:22	25
2023-09-01 23:08:42	26
2023-09-02 00:09:13	26
2023-09-11 23:08:42	26
2023-09-12 00:09:14	27
2023-09-12 01:09:49	27
2023-09-15 10:13:13	27
2023-09-15 11:10:16	28
2023-09-15 12:10:54	28
2023-09-26 20:13:21	28
